ANZSCO Code,Occupation,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
3424,Telecommunications Trades Workers,33.8,20.5,24.6,5.3,11.4,1.4,1.8,1.2
3511,Bakers and Pastrycooks,27.5,25.6,23.1,5.7,13.6,2.4,1.0,1.0
3512,Butchers and Smallgoods Makers,32.6,17.3,26.4,6.8,10.4,3.7,1.0,1.7
3513,Chefs,30.0,28.7,20.1,5.4,10.7,1.8,1.4,1.9
3514,Cooks,31.5,24.0,20.9,7.5,10.6,2.2,1.6,1.6
3611,Animal Attendants and Trainers,27.6,28.9,21.1,5.7,12.8,2.0,0.9,1.0
3612,Shearers,12.7,34.9,4.0,16.1,17.8,7.8,3.4,3.4
3613,Veterinary Nurses,29.9,28.2,23.1,5.9,9.0,2.0,0.8,1.2
3621,Florists,26.7,28.4,17.4,8.5,10.8,2.9,2.0,3.3
3622,Gardeners,26.0,26.7,20.6,10.1,10.9,2.7,0.8,2.3
3623,Greenkeepers,29.7,15.7,27.5,8.1,10.8,4.6,1.8,1.8
3624,Nurserypersons,17.5,34.3,13.5,8.1,14.9,5.9,2.9,2.9
3911,Hairdressers,33.0,23.4,23.1,8.2,9.0,1.7,0.6,1.0
3921,Print Finishers and Screen Printers,29.0,31.8,16.3,6.9,6.5,3.0,2.9,3.7
3922,Graphic Pre-press Trades Workers,42.5,21.0,5.8,7.1,6.1,5.8,4.8,7.0
3923,Printers,25.7,36.1,17.9,10.5,5.3,1.9,1.0,1.5
3931,Canvas and Leather Goods Makers,27.9,11.5,12.7,10.0,20.1,5.9,5.2,6.7
3932,Clothing Trades Workers,33.1,28.3,16.2,8.9,8.4,2.1,1.5,1.4
3933,Upholsterers,28.9,16.6,28.5,3.9,9.8,4.6,3.9,3.9
3941,Cabinetmakers,23.3,27.8,24.8,8.0,12.8,1.1,0.6,1.7
3942,Wood Machinists and Other Wood Trades Workers,19.4,25.0,18.3,9.3,15.6,5.7,3.1,3.5
3991,Boat Builders and Shipwrights,24.2,10.6,26.5,6.6,21.4,5.0,3.0,2.8
